Date,Close, Volume, Open, High, Low
8/31/20,1978.6,242577,1973.9,1985.8,1962.3
8/28/20,1974.9,329609,1937.5,1983,1928.2
8/27/20,1932.6,461990,1963,1987,1914.7
8/26/20,1952.5,338049,1939,1963.4,1908.4
8/25/20,1923.1,271641,1935.9,1944.1,1919.1
8/24/20,1939.2,284540,1947.9,1970.3,1930.8
8/21/20,1947,352773,1955.6,1963.1,1916.6
8/20/20,1946.5,378970,1934.4,1963.1,1928.9
8/19/20,1970.3,440405,2010.5,2015.6,1930.5
8/18/20,2013.1,358272,1993.6,2024.6,1985.2
8/17/20,1998.7,285580,1956.4,2000.8,1939.1
8/14/20,1949.8,237092,1963.8,1970,1939.1
8/13/20,1970.4,346000,1927.3,1974.8,1923
8/12/20,1949,450394,1921.6,1961,1874.2
8/11/20,1946.3,556617,2038.4,2040.5,1911.3
8/10/20,2039.7,248644,2044.8,2060.8,2027.8
8/7/20,2028,391017,2076.4,2082.1,2024.8
8/6/20,2069.4,307517,2055,2081.8,2049
8/5/20,2049.3,361949,2037,2070.3,2027.5
8/4/20,2021,269790,1993.5,2037.7,1982.6
8/3/20,1986.3,176729,1997.4,2009.5,1975.2
7/31/20,1985.9,275460,1973.6,2005.4,1971.4
7/30/20,1966.8,268606,1986.4,1987.3,1952.3
7/29/20,1976.7,191033,1971.9,1998.4,1955.7
7/28/20,1963.9,154485,1963.2,2000,1927.5
7/27/20,1955.4,127487,1929,1971.3,1926.8
7/24/20,1897.5,288088,1884.9,1904.6,1880.5
7/23/20,1890,400358,1871.6,1897.7,1863.1
7/22/20,1865.1,376705,1842.8,1871.8,1842.1
7/21/20,1843.9,265677,1819.6,1844.9,1817.2
7/20/20,1817.4,173983,1812.3,1823.4,1806.6
7/17/20,1810,162684,1796.9,1813.9,1795.2
7/16/20,1800.3,190841,1813.1,1816.2,1794.1
7/15/20,1813.8,179267,1811.1,1819.5,1804
7/14/20,1813.4,235992,1810.9,1813.6,1809.6
7/13/20,1814.1,218006,1803.4,1818.8,1802.1
7/10/20,1801.9,208264,1808.4,1817,1796.5
7/9/20,1803.8,265280,1818.8,1825.5,1799.6
7/8/20,1820.6,232708,1807.9,1829.8,1803.8
7/7/20,1809.9,217229,1793.9,1810.8,1781.2
7/6/20,1793.5,140564,1787,1799,1779.2
7/2/20,1790,181017,1779,1791.7,1766.3
7/1/20,1779.9,258541,1798.9,1807.7,1767.9
6/30/20,1800.5,190351,1799.2,1801.4,1795.5
6/29/20,1781.2,128441,1789.2,1790.4,1776.5
6/26/20,1780.3,195963,1774.8,1786.2,1754
6/25/20,1770.6,148788,1772.3,1779.6,1764.1
6/24/20,1775.1,230610,1784.4,1796.1,1770.6
6/23/20,1782,190018,1764.9,1786.8,1758.3
6/22/20,1766.4,219460,1765.8,1779,1753.5
6/19/20,1753,174981,1729.8,1760.9,1728.3
6/18/20,1731.1,152628,1735.5,1749.2,1722.7
6/17/20,1735.6,137879,1735.3,1739.3,1717.3
6/16/20,1736.5,177702,1732.3,1741.3,1721.8
6/15/20,1727.2,195205,1740.7,1743.8,1706.2
6/12/20,1737.3,148176,1733.6,1753,1728.2
6/11/20,1739.8,202214,1746.6,1754.9,1727.5
6/10/20,1720.7,195593,1718.9,1749.4,1714.1
6/9/20,1721.9,178128,1703.9,1729.4,1697.6
6/8/20,1705.1,151461,1686.7,1707.6,1680.7
6/5/20,1683,267086,1720.8,1723.2,1671.7
6/4/20,1727.4,193873,1702.8,1729,1698.9
6/3/20,1704.8,249036,1733.7,1738.9,1690.3
6/2/20,1734,172030,1750.3,1757,1728
6/1/20,1750.3,142807,1749.8,1761,1737.6
5/29/20,1736.9,1406,1718.8,1738.3,1715.1
5/28/20,1728.3,159174,1725,1743.7,1720
5/27/20,1726.8,156746,1724.1,1729.1,1701.6
5/26/20,1728.2,146582,1746.3,1755.6,1721.2
5/22/20,1734.6,6,1726.6,1726.7,1726.6
5/21/20,1721.9,225941,1751.7,1751.7,1715.3
5/20/20,1750.6,16,1751.6,1752.1,1745.6
5/19/20,1745.6,181673,1734.8,1751.6,1727.2
5/18/20,1734.4,264848,1757.5,1775.8,1729.3
5/15/20,1753.4,719,1739.7,1751.4,1739.7
5/14/20,1740.9,208601,1723.1,1746.5,1716
5/13/20,1716.4,204533,1705,1726.5,1701.6
5/12/20,1706.8,182675,1700,1716.7,1693.5
5/11/20,1698,184455,1706,1713.8,1692.1
5/8/20,1709.9,330,1726.2,1728.9,1703.8
5/7/20,1725.8,233381,1686,1733.2,1683.9
5/6/20,1688.5,196313,1714.1,1716.6,1683
5/5/20,1710.6,179577,1711,1717.8,1695.4
5/4/20,1713.3,146307,1711.2,1726,1700.3
5/1/20,1694.5,337,1686.6,1701.5,1670.5
4/30/20,1694.2,228730,1729.6,1737,1687.5
4/29/20,1703.4,373,1710,1713.5,1702
4/28/20,1722.2,166606,1724.4,1731.9,1704.1
4/27/20,1723.8,142721,1745,1745.8,1720
4/24/20,1723.5,221,1744,1744,1714.5
4/23/20,1745.4,194495,1736.5,1764.2,1730.6
4/22/20,1738.3,187864,1703.1,1742.4,1695.4
4/21/20,1687.8,240743,1713.3,1718,1666.2
4/20/20,1711.2,183636,1693,1718.4,1685
4/17/20,1689.2,223,1715.7,1725,1684.9
4/16/20,1731.7,199823,1743.5,1768,1722.6
4/15/20,1740.2,181342,1758.1,1759.8,1731.6
4/14/20,1768.9,234439,1761.5,1788.8,1747.1
4/13/20,1744.8,696,1722,1756.8,1710.7
4/9/20,1736.2,825,1662.7,1732.5,1662.7
4/8/20,1684.3,121346,1678.7,1695.8,1670.7
4/7/20,1683.7,194263,1707.1,1742.6,1672
4/6/20,1677,1063,1629.1,1696.7,1625.9
4/3/20,1633.7,643,1624.5,1636,1619.8
4/2/20,1637.7,162151,1602.4,1645.6,1595.2
4/1/20,1591.4,159377,1589.4,1612.4,1576
3/31/20,1583.4,2694,1618.7,1621,1576
3/30/20,1643.2,144290,1663.4,1673.6,1632
3/27/20,1623.9, N/A,1623.9,1623.9,1623.9
3/26/20,1660.3,134861,1642.2,1677.2,1612
3/25/20,1634.3,104547,1665.5,1698,1609
3/24/20,1660.2,442,1622.8,1685.5,1622.8
3/23/20,1572.7,95848,1508.4,1574.8,1489.4
3/20/20,1484,14,1483.5,1483.5,1483.5
3/19/20,1479.3,306016,1487.2,1502.8,1460.1
3/18/20,1477.9,412332,1527.6,1547,1473.3
3/17/20,1524.9,122,1469.3,1537.7,1469.3
3/16/20,1486.5,535860,1563.8,1574.8,1450.9
3/13/20,1516.7,524471,1582.7,1597.9,1504
3/12/20,1590.3,553457,1633.1,1651,1560.4
3/11/20,1642.3,373462,1649.3,1671.8,1632.4
3/10/20,1659.1,48,1671.6,1674.6,1643
3/9/20,1675.7,467110,1692.6,1704.3,1658
3/6/20,1672.4,619051,1673.1,1692.8,1642.4
3/5/20,1666.4,154,1637.2,1672.9,1637.2
3/4/20,1643,297251,1640.1,1654.3,1632.6
3/3/20,1642.1,610,1594.5,1645.3,1594
3/2/20,1592.3,537,1583.9,1608.3,1574.3
2/28/20,1564.1,289,1640.3,1642.5,1564.8
2/27/20,1642.5,560547,1658,1662.5,1636.7
2/26/20,1643.1,515771,1640.8,1643.8,1640.3
2/25/20,1650,654660,1647,1655.8,1627
2/24/20,1676.6,655245,1674.2,1674.4,1652.8
2/21/20,1644.6,186,1619.3,1645,1619.3
2/20/20,1620.5,389144,1615,1626.5,1606.6
2/19/20,1611.8,298536,1604.8,1615.9,1602.4
2/18/20,1600,310,1587,1604.3,1579.8
2/14/20,1582.7,68,1575.8,1582.4,1574.8
2/13/20,1578.8,264293,1569.8,1581.7,1568.5
2/12/20,1571.6,183410,1571.2,1573.6,1564.4
2/11/20,1565.6,440,1570.9,1571.1,1561.9
2/10/20,1579.5,186247,1575.8,1580.5,1571.5
2/7/20,1568.6,431,1564.9,1571.9,1560.5
2/6/20,1570,221612,1560,1571.9,1556
2/5/20,1562.8,297418,1556.1,1566.2,1551.1
2/4/20,1555.5,328192,1581.5,1584.5,1552.8
2/3/20,1582.4,303458,1597.8,1598.5,1573.2
1/31/20,1582.9,1095,1573.4,1589,1570
1/30/20,1589.2,371286,1582.4,1590.7,1576.8
1/29/20,1576,225389,1572,1583,1567.9
1/28/20,1575.8,191039,1587.1,1588.5,1570.4
1/27/20,1583.7,134423,1586.1,1594.7,1581.6
1/24/20,1571.1,38,1556.3,1570.3,1556.3
1/23/20,1571.6,65319,1564.7,1573.7,1557.5
1/22/20,1556.7,276521,1557,1558.9,1555.2
1/21/20,1556.4,45,1564.2,1566.2,1551
1/17/20,1558.8,108,1554.1,1558,1553.6
1/16/20,1550.5,253076,1556.6,1558.2,1548
1/15/20,1554,297777,1546.8,1558.8,1546.5
1/14/20,1544.6,323782,1548.6,1549.5,1536.4
1/13/20,1550.6,296619,1563,1563.1,1547
1/10/20,1557.5,16,1551.2,1558.8,1545.4
1/9/20,1554.3,354523,1557.7,1562.4,1541
1/8/20,1560.2,787217,1556.7,1563.8,1556.5
1/7/20,1574.3,418145,1567.4,1579.2,1557
1/6/20,1568.8,539023,1562.7,1590.9,1562.3
1/3/20,1549.2,107,1530.1,1552.7,1530.1
1/2/20,1528.1,257867,1521,1534,1519.7
12/31/19,1519.5,301,1513.8,1523.4,1513.8
12/30/19,1518.6,169813,1515.9,1519.1,1513.5
12/27/19,1518.1,194736,1516.5,1519.9,1512.1
12/26/19,1514.4,213592,1503.9,1517.4,1502.1
12/24/19,1499.1,52,1488.7,1498.6,1488.7
12/23/19,1488.7,155802,1482.4,1490.1,1481.2
12/20/19,1474.7,118,1476.7,1478.1,1475.3
12/19/19,1478.2,319,1475.9,1478.9,1473.3
12/18/19,1478.7,190975,1480.4,1483.6,1474.3
12/17/19,1480.6,167359,1480.6,1484.9,1478.4
12/16/19,1480.5,160416,1480,1484.5,1477.4
12/13/19,1475.6,468,1463.1,1475.9,1463.1
12/12/19,1472.3,396657,1469.5,1474.9,1468.2
12/11/19,1475,247053,1479.1,1479.9,1478.7
12/10/19,1462.6,367,1460.7,1467.2,1460.7
12/9/19,1464.9,163682,1464.1,1469.8,1463
12/6/19,1459.1,899,1475,1476,1458.2
12/5/19,1483.1,231844,1480,1485.7,1478
12/4/19,1480.2,311909,1483.2,1489.9,1476.7
12/3/19,1478.2,1460,1461.6,1480.4,1459.5
12/2/19,1469.2,304242,1470.3,1471.7,1459.8
11/29/19,1472.7,259290,1461.7,1472.9,1459.1
11/27/19,1453.4,88164,1461.1,1461.9,1452
11/26/19,1467.4,271754,1461.3,1470,1456.6
11/25/19,1463.8,121238,1467.5,1468.9,1460.7
11/22/19,1468.8,77902,1470.9,1480.3,1468.1
11/21/19,1470.5,73979,1481.3,1482.7,1469.4
11/20/19,1470,31,1472.6,1474.5,1467.3
11/19/19,1473.3,18,1467.7,1474.3,1467.7
11/18/19,1471.9,325033,1467.8,1474.4,1456.6
11/15/19,1467.3,13,1469.1,1469.1,1469.1
11/14/19,1473.4,312108,1464,1475.5,1461.7
11/13/19,1463.3,335980,1463.5,1467.9,1462.8
11/12/19,1452.1,6,1454.9,1454.9,1447.1
11/11/19,1457.1,295394,1460,1467.4,1448.9
11/8/19,1461.3,21,1469.1,1469.1,1461.7
11/7/19,1464.2,581,1466.8,1473,1466.5
11/6/19,1493.1,302400,1491.5,1495.9,1490.5
11/5/19,1483.7,573018,1511.6,1511.9,1480.7
11/4/19,1511.1,250475,1516.4,1517.1,1506.5
11/1/19,1508,235,1511,1511.6,1503
10/31/19,1514.8,375394,1498.8,1516.7,1496
10/30/19,1493.2,320,1487.2,1495.4,1481
10/29/19,1490.7,283038,1494,1494,1489.7
10/28/19,1495.8,310472,1507.4,1510.8,1492.3
10/25/19,1499.5,93,1501.4,1503.7,1499
10/24/19,1504.7,290074,1495.1,1506.9,1490.4
10/23/19,1495.7,235483,1491.1,1499.4,1490.7
10/22/19,1487.5,200931,1487.5,1492.1,1484
10/21/19,1488.1,272195,1495.6,1498.7,1484.8
10/18/19,1488.2,82,1487.3,1489.1,1486.6
10/17/19,1498.3,296546,1494.2,1501.1,1487
10/16/19,1494,360083,1484.8,1495.5,1480.6
10/15/19,1483.5,307105,1497.7,1503,1480.8
10/14/19,1497.6,221049,1492,1501.5,1487.1
10/11/19,1488.7,462693,1498.3,1508,1478
10/10/19,1500.9,401849,1510.8,1522.3,1495.7
10/9/19,1512.8,277242,1515.4,1516.5,1510.1
10/8/19,1497.2,46,1489.4,1506.3,1489.3
10/7/19,1504.4,252399,1497.2,1499.7,1493.3
10/4/19,1506.2,233,1505.6,1508.7,1497.1
10/3/19,1513.8,400130,1505.6,1525.8,1501.7
10/2/19,1501,205,1476.6,1503.7,1474.1
10/1/19,1489,440804,1478,1493.5,1465
9/30/19,1472.9,424759,1501.7,1507.2,1470.5
9/27/19,1506.4,436289,1511.8,1514.4,1493.3
9/26/19,1515.2,367934,1510.9,1519.5,1507.1
9/25/19,1512.3,462742,1539.8,1542.8,1507.4
9/24/19,1532.1,25,1515.1,1533,1515.1
9/23/19,1531.5,349589,1521.5,1534.4,1517.9
9/20/19,1507.3,2,1503,1503,1503
9/19/19,1506.2,281865,1502,1512.1,1496.3
9/18/19,1515.8,352179,1509.7,1519.5,1490.7
9/17/19,1513.4,329751,1506.5,1515,1500.9
9/16/19,1503.1,21,1500,1500.6,1498.5
9/13/19,1490.9,1,1486.9,1486.9,1486.9
9/12/19,1507.4,480662,1504.9,1532.2,1496.8
9/11/19,1503.2,296849,1493.9,1506.2,1492.9
9/10/19,1499.2,390357,1507,1509.1,1492.1
9/9/19,1511.1,312350,1516.4,1523.8,1505.5
9/6/19,1506.2,54,1517.3,1526,1504.5
9/5/19,1525.5,586738,1561.4,1561.9,1514.3
9/4/19,1560.4,404779,1556,1566.2,1542.6
9/3/19,1555.9,541575,1539.2,1558.9,1529.6
8/30/19,1529.2,320657,1536.9,1541.9,1525.6
8/29/19,1536.9,439428,1549.4,1559.8,1528.6
8/28/19,1549.1,342556,1551.8,1556.6,1541.4
8/27/19,1551.8,334873,1537.3,1554.5,1535.3
8/26/19,1537.2,407500,1545.4,1565,1534.8
8/23/19,1537.6,459203,1508.8,1540.3,1503
8/22/19,1497.3,686,1495.1,1495.1,1493.8
8/21/19,1515.7,238972,1518.4,1518.4,1506.5
8/20/19,1515.7,240391,1506.3,1518.8,1503
8/19/19,1511.6,289329,1523,1523.6,1503.3
8/16/19,1523.6,314597,1533.9,1538.6,1513.9
8/15/19,1531.2,428618,1526.6,1537.7,1518.3
8/14/19,1527.8,474508,1513,1534.9,1504.5
